,elements,radius
0,Hf4+,0.85
1,Zr4+,0.86
2,La3+,1.172
3,Cd2+,1.09
4,Zn2+,0.88
5,Ba2+,1.49
6,Sr2+,1.32
7,Ca2+,1.14
8,Mg2+,0.86
9,Na1+,1.16
10,Cr3+,0.755
11,Nb5+,0.78
12,Ge4+,0.67
13,Ti4+,0.745
14,Al3+,0.675
15,Li1+,0.9
16,P5+,0.52
17,Si4+,0.54
18,Bi3+,1.17
19,Pr3+,1.13
20,Sm3+,1.098
21,Eu3+,1.087
22,Gd3+,1.075
23,Tb3+,1.063
24,Dy3+,1.052
25,Ho3+,1.041
26,Er3+,1.03
27,Tm3+,1.02
28,Yb3+,1.008
29,Lu3+,1.001
30,Y3+,1.04
31,Rh3+,0.805
32,Ru4+,0.76
33,Sb5+,0.76
34,Ta5+,0.78
35,Sn4+,0.83
36,In3+,0.94
37,Ga3+,0.76
38,Sc3+,0.885
39,As5+,0.6
40,Nd3+,1.123
41,Ag1+,1.29
42,Au3+,0.99
43,Cs1+,1.81
44,V5+,0.68
45,Pt4+,0.765
46,B3+,0.41
47,Mn3+,0.785
48,Be2+,0.59
49,Co2+,0.885
50,Mo4+,0.79
51,Rb1+,1.66
52,Re4+,0.77
53,Fe3+,0.785
54,Ni2+,0.83
55,Se4+,0.64
56,K1+,1.52
57,Hg2+,1.16
58,Te4+,1.11
59,W6+,0.74
60,Pb2+,1.33
61,Tc4+,0.785
62,Ir4+,0.765
63,Pd2+,1
64,Tl1+,1.64
65,Os4+,0.77
66,Cu2+,0.87
67,Ce3+,1.15
