,specie,binary_oxide,icsd,mpid,,
0,Hf4+,HfO2,27313,mp-352,,
1,Zr4+,ZrO2,68782,mp-2858,,
2,La3+,La2O3,96201,mp-2292,,
3,Cd2+,CdO,24802,mp-1132,,
4,Zn2+,ZnO,31060,mp-2133,,
5,Ba2+,BaO,52278,mp-1342,,
6,Sr2+,SrO,28904,mp-2472,,
7,Ca2+,CaO,52783,mp-2605,,
8,Mg2+,MgO,52026,mp-1265,,
9,Na+,Na2O,60435,mp-2352,,
10,Cr3+,Cr2O3,38125,mp-19399,,
11,Nb5+,Nb2O5,25750,,,
12,Ge4+,GeO2,92551,mp-470,,
13,Ti4+,TiO2,69331,mp-2657,,
14,Al3+,Al2O3,43732,mp-1143,,
15,Li+,Li2O,57411,mp-1960,,
16,P5+,P2O5,40865,mp-562613,,
17,Si4+,SiO2,98629,mp-7000,,
18,Bi3+,Bi2O3,,mp-23262,,
19,Pr3+,Pr2O3,,mp-16705,,
20,Sm3+,Sm2O3,,mp-218,,
21,Eu3+,Eu2O3,40472,,,
22,Gd3+,Gd2O3,,mp-504886,,
23,Tb3+,Tb2O3,,mp-1056,,
24,Dy3+,Dy2O3,,mp-2345,,
25,Ho3+,Ho2O3,,mp-812,,
26,Er3+,Er2O3,,mp-679,,
27,Tm3+,Tm2O3,,mp-1767,,
28,Yb3+,Yb2O3,,mp-2814,,
29,Lu3+,Lu2O3,,mp-1427,,
30,Y3+,Y2O3,,mp-2652,,
31,Rh3+,Rh2O3,,mp-542734,,
32,Ru4+,RuO2,,mp-825,,
33,Sb5+,Sb2O5,,mp-1705,,
34,Ta5+,Ta2O5,,mvc-4415,,
35,Sn4+,SnO2,,mp-856,,
38,In3+,In2O3,,mp-22598,,
39,Ga3+,Ga2O3,,mp-886,,
40,Sc3+,Sc2O3,,mp-216,,
41,As5+,As2O5,,mp-555434,,
42,Nd3+,Nd2O3,,mp-1045,,
43,Rb+,Rb2O,,mp-1394,,
44,I5+,I2O5,,mp-23261,,
45,Ce3+,Ce2O3,,mp-542313,,
46,Fe4+,FeO2,,mp-850222,,
47,Mo4+,MoO2,,mp-510536,,
48,Ce4+,CeO2,,mp-20194,,
49,Nb4+,NbO2,,mp-557057,,
50,Mn3+,Mn2O3,,mp-542877,,
51,Mn4+,MnO2,,mp-19395,,
52,Tc4+,TcO2,,mp-33137,,
53,Pu4+,PuO2,,mp-1959,,
54,K+,K2O,,mp-971,,
55,Bi5+,,,,,
56,Br5+,,,,,
57,Np4+,NpO2,,mp-2616,,
58,Pb2+,PbO,,mp-672237,,
59,Pb4+,PbO2,,mp-20725,,
60,Cs+,Cs2O,,mp-7988,,
61,V4+,VO2,,mp-19094,,
62,U5+,U2O5,,mp-647814,,
63,Tl+,Tl2O,,mp-27484,,
64,Cl5+,,,,,
65,Ti3+,Ti2O3,,mp-458,,
66,Co3+,,,,,
67,Pa4+,,,,,
68,Eu2+,EuO,,mp-21394,,
69,Nb4+,NbO2,,mp-557057,,
70,Sm2+,SmO,,mp-1611,,
71,Tl3+,Tl2O3,,mp-1658,,
72,Pr4+,PrO2,,mp-1302,,
73,Hg2+,HgO,,mp-1224,,
74,Pt4+,,,,,
75,Ir4+,IrO2,,mp-2723,,
76,Ir5+,,,,,
77,Se4+,SeO,,mp-726,,
78,Os4+,OsO2,,mp-996,,
79,I5+,I2O5,,mp-23261,,
80,W5+,,,,,
81,Te4+,TeO2,,mp-2125,,
82,Cu2+,CuO,,mp-1692,,
83,N5+,,,,,
84,Ni2+,NiO,,mp-19009,,
85,Ni3+,,,,,
86,C4+,,,,,
87,Co2+,CoO,,mp-19079,,
88,Co3+,,,,,
89,Pa4+,PaO2,,mp-2364,,S
90,Co4+,CoO2,,mp-32686,,
91,B3+,B2O3,,mp-306,,
92,Fe2+,FeO,,mp-18905,,
93,Fe3+,Fe2O3,,mp-24972,,
94,Th4+,ThO2,,mp-643,,
95,Ag+,Ag2O,,mp-353,,
96,Mn2+,MnO,,mp-714882,,
97,Mn3+,Mn2O3,,mp-542877,,
98,Mn4+,MnO2,,mp-19395,,
99,Pd3+,,,,,
100,Cr4+,CrO2,,mp-19177,,
101,Rh4+,RhO2,,mp-725,,
102,V3+,V2O3,,mp-25787,,
103,V4+,VO2,,mp-19094,,
104,V5+,V2O5,,mp-25620,,
105,Ru3+,,,,,
106,Tb4+,TbO2,,mp-2458,,
107,Ti3+,Ti2O3,,mp-458,,
